    contributors  coordinates                      created_at                                           entities                                  extended_entities  ...  \
0            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...  {'media': [{'sizes': {'large': {'w': 1024, 'h'...  ...   
1            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [{'text': 'cruzsexscandal', 'indi...  {'media': [{'sizes': {'large': {'w': 500, 'h':...  ...   
2            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
3            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
4            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
5            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
6            NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
7            NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
8            NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...  {'media': [{'sizes': {'large': {'w': 384, 'h':...  ...   
9            NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [{'text': 'Trump', 'indices': [34...  {'media': [{'sizes': {'large': {'w': 573, 'h':...  ...   
10           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
11           NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [{'text': 'SleazyDonald', 'indice...                                                NaN  ...   
12           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...  {'media': [{'sizes': {'large': {'w': 384, 'h':...  ...   
13           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
14           NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [{'text': 'SleazyDonald', 'indice...                                                NaN  ...   
15           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [{'text': 'Trump', 'indices': [34...  {'media': [{'sizes': {'large': {'w': 573, 'h':...  ...   
16           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
17           NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
18           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [{'text': 'Trump', 'indices': [23...  {'media': [{'sizes': {'large': {'w': 1024, 'h'...  ...   
19           NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
20           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [{'text': 'HillYes', 'indices': [...                                                NaN  ...   
21           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
22           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
23           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [{'text': 'Trump', 'indices': [23...  {'media': [{'sizes': {'large': {'w': 1024, 'h'...  ...   
24           NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
25           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
26           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
27           NaN          NaN  Tue Mar 29 23:40:17 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
28           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...  {'media': [{'sizes': {'large': {'w': 591, 'h':...  ...   
29           NaN          NaN  Tue Mar 29 23:40:18 +0000 2016  {'hashtags': [{'text': 'HillYes', 'indices': [...                                                NaN  ...   
70           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
